Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
AMARAJABAT,17,719.33,630.5,10718.5,-1510.1,-12.35,-1.26
ASIANPAINT,1,3182.6,3301.95,3301.95,119.35,3.75,0.13
BAJAJ-AUTO,1,3831.9,3295,3295,-536.9,-14.01,0.1
BAJAJCON,50,239.27,203.4,10170,-1793.35,-14.99,0.57
BAJAJFINSV,1,17039.95,16693,16693,-346.95,-2.04,-2.55
BHARTIARTL,10,765.6,685.35,6853.5,-802.5,-10.48,-0.91
BLUEDART,4,6634.45,6313.35,25253.4,-1284.4,-4.84,-1.76
BRITANNIA,5,3771.38,3541.6,17708,-1148.9,-6.09,-1.06
CCL,21,402.12,412.2,8656.2,211.6,2.51,2.74
COLPAL,13,1617.38,1449,18837,-2188.95,-10.41,-0.68
CONCOR,35,707.41,639.25,22373.75,-2385.5,-9.63,-0.39
COROMANDEL,9,839.25,745.6,6710.4,-842.85,-11.16,-0.33
CROMPTON,9,478.6,432.5,3892.5,-414.9,-9.63,3.83
DABUR,32,607.44,573.25,18344,-1093.95,-5.63,-1.11
DMART,6,4869.18,4749.45,28496.7,-718.35,-2.46,-1.35
DRREDDY,2,4775,4599.7,9199.4,-350.6,-3.67,-1.01
EICHERMOT,8,2812.34,2493.35,19946.8,-2551.9,-11.34,0.24
ENDURANCE,8,1687.73,1689.25,13514,12.2,0.09,-1.5
GOLDBEES,0,40.18,41.47,0,0,3.2,-0.19
GPPL,250,105.37,99.75,24937.5,-1405.75,-5.34,0.2
GREAVESCOT,86,141.53,147.2,12659.2,487.7,4.01,-1.01
HDFC,50,2729.5,2721,136050,-425,-0.31,-1.13
HDFCLIFE,25,703.26,672.85,16821.25,-760.25,-4.32,0.5
HEROMOTOCO,5,2835.8,2507.15,12535.75,-1643.25,-11.59,0.94
HINDUNILVR,14,2501.28,2320.95,32493.3,-2524.65,-7.21,0.11
ICICIBANK,142,795.61,752.6,106869.2,-6106.8,-5.41,-0.82
ICICIPRULI,25,647.71,566.85,14171.25,-2021.55,-12.48,-1.67
IOC,107,122.91,115.7,12379.9,-771.05,-5.86,-1.87
IPCALAB,3,2308.8,2021.2,6063.6,-862.8,-12.46,-0.48
ITC,93,242.24,224.05,20836.65,-1691.45,-7.51,-1.99
JUBLFOOD,1,4009.15,3679.2,3679.2,-329.95,-8.23,-2.02
JUNIORBEES,0,451.8,446.31,0,0,-1.21,-0.82
JYOTHYLAB,111,160.37,149.7,16616.7,-1184.25,-6.65,-3.48
KPITTECH,38,357.36,503.55,19134.9,5555.05,40.91,-2.59
LIQUIDBEES,0,994.99,1000.01,0,0,0.5,0
M&M,22,820.48,846.2,18616.4,565.92,3.14,1.12
MAHLOG,50,721.6,662.6,33130,-2950.2,-8.18,-2
MARICO,30,571.56,513.4,15402,-1744.8,-10.18,-0.32
MOTHERSUMI,57,228.73,221.35,12616.95,-420.65,-3.23,-0.16
MPHASIS,3,3165.07,3211.95,9635.85,140.65,1.48,0.76
NH,18,514.11,600,10800,1546,16.71,-0.3
NIFTYBEES,0,193.46,186.25,0,0,-3.73,-0.58
PNB,200,38.9,39.75,7950,170,2.19,-1
POWERGRID,71,182.26,210,14910,1969.6,15.22,-1.08
RELIANCE,16,2411.94,2372.5,37960,-631,-1.64,-0.33
SUNDRMFAST,14,893.08,862.75,12078.5,-424.55,-3.4,0.18
SYNGENE,15,590.2,607.45,9111.75,258.75,2.92,-0.32
TATACONSUM,27,833.53,746.3,20150.1,-2355.15,-10.46,0.92
TATAELXSI,3,5611.97,5868.9,17606.7,770.8,4.58,-2.6
TATAMOTORS,150,340,491.5,73725,22725,44.56,0.41
TATAPOWER,91,175.88,227.9,20738.9,4733.45,29.57,-0.5
TCI,45,429.46,736.25,33131.25,13805.7,71.44,8.26
TCIEXP,16,1650.05,2210.1,35361.6,8960.8,33.94,-3.39
TCS,0,3509.6,3570.35,0,0,1.73,-1.47
TITAN,2,2362.3,2323.15,4646.3,-78.3,-1.66,-1.35
TRENT,4,1108,1036.1,4144.4,-287.6,-6.49,0.55
UJJIVANSFB,2500,19.9,19.3,48250,-1500,-3.02,-0.77
UNIONBANK,205,48.5,46.8,9594,-348.5,-3.51,-1.68
VBL,25,886.54,902.5,22562.5,398.9,1.8,-0.71
VMART,1,3799.85,3626.55,3626.55,-173.3,-4.56,0.08
VRLLOG,72,388.94,459,33048,5044.5,18.01,-1.05
WHIRLPOOL,2,2377.25,1859.55,3719.1,-1035.4,-21.78,-1.42
YESBANK,40,13.2,13.75,550,22,4.17,-1.43
ZYDUSWELL,10,2182.06,1911.75,19117.5,-2703.1,-12.39,-0.41
